headlines,updated_time
US officials to meet farm groups as trade war fears mount,29 Mar 2018 - 5:33pm
‘America first’ shouldn’t target Chinese students at US universities ,29 Mar 2018 - 1:19pm
Trump seeks French and German support in China trade spats,28 Mar 2018 - 7:51pm
Why trade war is a lose-lose for the US and China,28 Mar 2018 - 11:21pm
US’ largest pork maker eyes new markets amid China trade war fears,28 Mar 2018 - 10:28pm
"China demands US tariff compensation, setting stage for WTO showdown",27 Mar 2018 - 11:27pm
"Amid a trade spat, grown-ups must steer China-US ties to avoid war",27 Mar 2018 - 8:57am
Mnuchin ‘hopeful’ US and China can reach deal over trade,26 Mar 2018 - 7:11pm
China’s new central bank chief shrugs off financial risks from trade war,26 Mar 2018 - 11:02pm
Trade war will be ‘harmful for all’ China’s vice-premier says,25 Mar 2018 - 11:16pm
How might China hit back at the US? Let us count the ways …,25 Mar 2018 - 2:58pm
Apple’s Tim Cook calls for calm heads amid China-US tensions,25 Mar 2018 - 12:45am
"US firms Apple, Boeing would be big losers in trade war with China",24 Mar 2018 - 11:26pm
US politicians may face voters’ ire as China hits US farm products over tariffs,24 Mar 2018 - 11:37pm
What Wall Street is saying after US$900 billion global equity wipeout,24 Mar 2018 - 8:47pm
"US, South Korea ‘very close’ to trade deal as tariffs begin, mainly aimed at China",24 Mar 2018 - 6:30am
Trump tariffs imposed ‘because China pledges didn’t convince US’,24 Mar 2018 - 8:47pm
Hong Kong vows to hit back against ‘discriminatory’ US trade actions,24 Mar 2018 - 9:28am
‘Collateral damage to Hong Kong unavoidable’ in US-China trade war,23 Mar 2018 - 11:03pm
China strikes back with tariffs on US goods after US$60 billion penalties,23 Mar 2018 - 2:02pm
Read China's furious response to America's US$60b tariffs in full,23 Mar 2018 - 12:34pm
Wall Street has biggest drop in 6 weeks after Trump signs China tariffs,23 Mar 2018 - 3:04pm
US allies to get a pause on metal tariffs - but no such luck for China,23 Mar 2018 - 12:05pm
China warns it ‘will fight to the end‘ in trade war after US$60b tariffs,23 Mar 2018 - 12:05pm
China to open markets ‘beyond expectations’ as US tariffs loom,23 Mar 2018 - 3:02pm
Trump’s trade tariffs may release the four horsemen of economic doom,23 Mar 2018 - 12:05pm
"US ‘not planning to start a trade war’, Mnuchin claims",23 Mar 2018 - 12:43pm
"Amid White House chaos, Wang may have no one to meet at trade talks",23 Mar 2018 - 1:07pm
China will ‘fight to the end’ if US doesn’t stop trade war,23 Mar 2018 - 1:07pm
Trade war with China would be ‘devastating’ for American families,23 Mar 2018 - 12:58pm
"China, US flex muscles at G20 meeting as trade war looms",23 Mar 2018 - 1:07pm
"Putin, North Korea and a US trade war - Chinese Premier’s closing speech for Two Sessions",23 Mar 2018 - 1:07pm
China ‘to be hit with US$60 billion in annual tariffs on Friday’,23 Mar 2018 - 1:07pm
Trump’s opening salvo in trade war with China misses its mark,23 Mar 2018 - 12:05pm
Xi Jinping and Angela Merkel look to G20 to tackle steel overcapacity,23 Mar 2018 - 1:07pm
"West must wake up to the reality that others are getting rich, too",23 Mar 2018 - 12:05pm
Trump’s plan for China tariffs ‘could devastate US economy’,23 Mar 2018 - 12:58pm
Trump’s US$30b ‘China IP theft tariff’ sparks ire from US companies,23 Mar 2018 - 12:05pm
Are you ready to pay more for that iPhone and ThinkPad laptop?,23 Mar 2018 - 12:05pm
Trump plans to punish US$60bn in Chinese tech imports with new tariffs,23 Mar 2018 - 12:05pm
"US steel, aluminium tariffs may backfire, giving China upper hand",23 Mar 2018 - 12:05pm
China-US trade war would be ‘catastrophic for the whole world’,23 Mar 2018 - 12:43pm
"Hong Kong’s economy could be collateral damage in US, China trade war",23 Mar 2018 - 1:07pm
"Never mind China, could Trump country be hardest hit by tariffs?",23 Mar 2018 - 1:07pm
